country,year,countryCode,continent,stunt_rural,stunt_urban,waste_rural,waste_urban,stunt_all,waste_all,electricity,agLand,agLabor,foodExport,foodImport,gdpPPP,gdpPPPpercap,giniIndex,urbanPop,urbanPopGrowth,clusterPrecipAnom,nationalTempAnom,nationalPrecipAnom
Nepal,1996,NPL,Asia,0.582398523,0.464366711,0.140857755,0.097595756,0.573997924,0.137778697,17.9,29.39160839,75.45702,NA,NA,41360026368,1815.312616,NA,11.35,6.323644601,NA,100.2136813,95.72952962
Nepal,2001,NPL,Asia,0.60884269,0.442616379,0.102494019,0.079712409,0.597959206,0.101002419,24.6,29.71049878,72.73709,NA,NA,52013443156,2084.199999,NA,13.947,5.625200602,99.79595869,101.7749278,102.2503106
Nepal,2006,NPL,Asia,0.512869181,0.355915619,0.137381672,0.075876523,0.493730215,0.129881715,51.2,29.19427973,70.80859,NA,NA,60609432109,2285.512213,NA,15.462,2.930862886,99.22877986,103.2274928,89.33089345
Nepal,2011,NPL,Asia,0.413144659,0.271783136,0.109494417,0.085385358,0.400847076,0.107397077,67.26,28.78688525,67.33437,18.62529951,14.17951927,75359645822,2763.828323,NA,17.108,2.392602494,109.4726883,100.4286897,128.0695053
Nepal,2016,NPL,Asia,0.402584153,0.320608534,0.108524761,0.094587553,0.359473021,0.101195158,90.7,28.74782002,64.5966,24.36423179,18.2328817,90400474173,3244.6743,NA,18.942,2.957937293,107.5702522,103.5316961,102.6979908
Nepal,2017,NPL,Asia,0.402584153,0.320608534,0.108524761,0.094587553,0.359473021,0.101195158,86.62465668,28.74782002,63.79161,26.12469729,17.64285679,98515977279,3495.5288,NA,19.336,3.208642768,94.64509248,101.6356562,102.0387543
Nicaragua,1997,NIC,Americas,0.40663418,0.279439257,0.039680878,0.030805135,0.340464245,0.035063497,71.03321075,39.95346518,34.66117,68.70859841,14.44924698,17410029862,3555.997751,NA,54.737,1.996092914,NA,99.41397857,83.45480006
Nicaragua,1998,NIC,Americas,0.40663418,0.279439257,0.039680878,0.030805135,0.340464245,0.035063497,69.047103,40.82599302,34.20382,82.94211348,17.64063231,18056234713,3629.720769,54.4,54.886,1.864297994,NA,100.7554276,108.7665331
Nicaragua,2001,NIC,Americas,0.393190614,0.17145086,0.030653891,0.016914049,0.282033948,0.023766199,72.22158,43.00315772,32.46694,77.27142113,15.95949078,20715069650,3989.218391,52.9,55.335,1.619705813,NA,100.1215102,88.09681528
Niger,1992,NER,Africa,0.464342314,0.354002137,0.212361331,0.14469646,0.41959097,0.184918074,4.4,27.63085182,78.01292,NA,NA,9162547184,1028.616229,36.1,15.529,3.629235563,98.91919262,97.19817419,92.38485633
